iter	Passed	Remaining
0	17	17966
1	29	14806
2	39	13231
3	48	12196
4	62	12392
5	73	12178
6	82	11668
7	92	11520
8	103	11442
9	112	11178
10	129	11687
11	143	11782
12	154	11699
13	162	11477
14	174	11467
15	188	11592
16	202	11729
17	217	11844
18	227	11720
19	238	11709
20	250	11691
21	259	11541
22	269	11468
23	280	11415
24	288	11269
25	300	11254
26	318	11486
27	333	11563
28	345	11575
29	359	11617
30	371	11625
31	385	11657
32	400	11721
33	426	12108
34	435	12010
35	445	11918
36	455	11859
37	469	11883
38	478	11783
39	491	11804
40	505	11820
41	519	11840
42	528	11752
43	539	11719
44	554	11762
45	568	11797
46	582	11805
47	596	11831
48	622	12090
49	634	12062
50	652	12142
51	668	12189
52	688	12309
53	704	12350
54	723	12431
55	742	12510
56	757	12533
57	774	12570
58	786	12548
59	799	12526
60	807	12436
61	818	12376
62	829	12333
63	837	12254
64	848	12206
65	862	12206
66	872	12145
67	880	12069
68	895	12076
69	912	12127
70	927	12136
71	943	12166
72	975	12383
73	1060	13268
74	1076	13278
75	1103	13421
76	1117	13391
77	1125	13304
78	1137	13262
79	1148	13208
80	1158	13146
81	1184	13261
82	1199	13257
83	1213	13233
84	1229	13233
85	1242	13205
86	1253	13150
87	1267	13135
88	1280	13105
89	1294	13083
90	1306	13049
91	1317	13002
92	1332	12992
93	1348	12998
94	1373	13088
95	1383	13024
96	1395	12993
97	1406	12949
98	1420	12932
99	1430	12875
100	1442	12836
101	1455	12815
102	1466	12769
103	1477	12727
104	1488	12685
105	1499	12649
106	1509	12595
107	1521	12567
108	1537	12568
109	1553	12569
110	1572	12596
111	1585	12571
112	1596	12530
113	1605	12474
114	1616	12437
115	1628	12407
116	1637	12358
117	1647	12316
118	1660	12294
119	1670	12248
120	1687	12261
121	1698	12226
122	1710	12197
123	1726	12193
124	1739	12177
125	1751	12146
126	1768	12155
127	1779	12123
128	1788	12076
129	1799	12039
130	1807	11991
131	1819	11967
132	1831	11936
133	1843	11915
134	1853	11874
135	1869	11875
136	1883	11863
137	1898	11860
138	1913	11852
139	1927	11841
140	1944	11845
141	1952	11800
142	1965	11776
143	1975	11745
144	1989	11733
145	2004	11724
146	2013	11681
147	2023	11650
148	2037	11637
149	2053	11634
150	2063	11603
151	2076	11586
152	2091	11580
153	2105	11564
154	2115	11531
155	2124	11496
156	2136	11472
157	2146	11439
158	2154	11398
159	2166	11375
160	2175	11335
161	2184	11299
162	2195	11273
163	2204	11238
164	2216	11214
165	2229	11199
166	2237	11162
167	2247	11129
168	2259	11111
169	2271	11088
170	2281	11061
171	2297	11060
172	2318	11085
173	2330	11064
174	2343	11049
175	2355	11029
176	2369	11018
177	2378	10985
178	2391	10970
179	2403	10949
180	2418	10944
181	2430	10922
182	2438	10887
183	2450	10869
184	2463	10853
185	2477	10840
186	2487	10813
187	2512	10851
188	2521	10818
189	2531	10792
190	2542	10768
191	2554	10748
192	2564	10724
193	2576	10706
194	2589	10690
195	2598	10659
196	2610	10640
197	2623	10625
198	2640	10626
199	2650	10600
200	2670	10614
201	2678	10582
202	2689	10558
203	2701	10540
204	2709	10508
205	2722	10491
206	2732	10469
207	2741	10438
208	2752	10416
209	2764	10401
210	2777	10384
211	2786	10356
212	2797	10337
213	2812	10330
214	2826	10318
215	2841	10313
216	2855	10304
217	2868	10290
218	2882	10280
219	2892	10254
220	2903	10232
221	2911	10203
222	2923	10186
223	2934	10167
224	2949	10158
225	2973	10183
226	2987	10174
227	3002	10166
228	3016	10156
229	3029	10140
230	3039	10117
231	3059	10127
232	3069	10104
233	3081	10086
234	3091	10065
235	3100	10037
236	3113	10024
237	3125	10008
238	3134	9980
239	3145	9959
240	3159	9950
241	3169	9926
242	3178	9900
243	3192	9891
244	3209	9889
245	3224	9882
246	3238	9873
247	3247	9847
248	3257	9824
249	3269	9807
250	3280	9788
251	3290	9766
252	3306	9762
253	3321	9755
254	3338	9754
255	3355	9752
256	3368	9738
257	3381	9724
258	3395	9714
259	3405	9693
260	3417	9676
261	3430	9662
262	3448	9663
263	3459	9645
264	3470	9626
265	3482	9609
266	3493	9590
267	3502	9566
268	3515	9552
269	3527	9536
270	3540	9524
271	3551	9505
272	3570	9508
273	3586	9503
274	3598	9487
275	3607	9463
276	3620	9450
277	3632	9434
278	3641	9409
279	3652	9391
280	3663	9373
281	3671	9348
282	3682	9329
283	3693	9311
284	3704	9293
285	3715	9274
286	3731	9269
287	3745	9258
288	3757	9245
289	3770	9230
290	3782	9214
291	3801	9217
292	3812	9198
293	3824	9182
294	3836	9167
295	3846	9147
296	3856	9127
297	3871	9121
298	3883	9104
299	3897	9094
300	3906	9070
301	3917	9053
302	3928	9037
303	3940	9020
304	3951	9003
305	3966	8995
306	3980	8984
307	3994	8973
308	4014	8978
309	4027	8963
310	4037	8945
311	4046	8923
312	4060	8913
313	4071	8895
314	4081	8875
315	4091	8857
316	4104	8844
317	4120	8836
318	4134	8826
319	4150	8818
320	4159	8797
321	4169	8779
322	4180	8762
323	4191	8745
324	4202	8727
325	4214	8712
326	4228	8702
327	4244	8695
328	4262	8692
329	4275	8681
330	4288	8667
331	4297	8646
332	4311	8635
333	4327	8628
334	4344	8624
335	4358	8612
336	4369	8595
337	4378	8574
338	4391	8561
339	4402	8545
340	4410	8523
341	4421	8506
342	4433	8491
343	4442	8470
344	4452	8453
345	4466	8442
346	4475	8422
347	4484	8401
348	4495	8386
349	4513	8382
350	4526	8369
351	4547	8370
352	4562	8361
353	4577	8352
354	4589	8338
355	4598	8318
356	4610	8303
357	4621	8288
358	4632	8271
359	4641	8252
360	4658	8245
361	4674	8238
362	4688	8228
363	4704	8220
364	4740	8246
365	4756	8239
366	4773	8232
367	4793	8233
368	4806	8219
369	4818	8204
370	4827	8183
371	4838	8167
372	4850	8152
373	4860	8134
374	4871	8119
375	4884	8106
376	4893	8086
377	4904	8071
378	4916	8055
379	4926	8038
380	4936	8019
381	4948	8005
382	4973	8011
383	4985	7997
384	5000	7987
385	5016	7979
386	5029	7966
387	5042	7953
388	5054	7939
389	5063	7920
390	5074	7903
391	5086	7888
392	5102	7880
393	5112	7864
394	5128	7854
395	5142	7843
396	5154	7828
397	5165	7813
398	5174	7793
399	5186	7779
400	5206	7776
401	5219	7763
402	5230	7748
403	5239	7729
404	5253	7718
405	5264	7702
406	5278	7690
407	5298	7687
408	5317	7683
409	5330	7671
410	5348	7664
411	5365	7657
412	5380	7647
413	5393	7633
414	5405	7620
415	5415	7602
416	5426	7586
417	5441	7575
418	5454	7563
419	5463	7544
420	5476	7531
421	5490	7520
422	5504	7508
423	5518	7496
424	5533	7485
425	5543	7468
426	5556	7455
427	5568	7442
428	5578	7425
429	5589	7409
430	5602	7396
431	5614	7382
432	5623	7364
433	5634	7348
434	5646	7333
435	5655	7316
436	5669	7304
437	5680	7289
438	5702	7286
439	5724	7285
440	5744	7281
441	5761	7273
442	5791	7281
443	5805	7270
444	5815	7253
445	5825	7236
446	5838	7222
447	5849	7207
448	5863	7195
449	5878	7185
450	5896	7178
451	5914	7170
452	5926	7155
453	5934	7137
454	5946	7122
455	5961	7112
456	5973	7097
457	5983	7080
458	5993	7064
459	6004	7048
460	6014	7032
461	6026	7017
462	6080	7052
463	6095	7041
464	6113	7034
465	6122	7016
466	6134	7001
467	6147	6987
468	6155	6969
469	6167	6954
470	6183	6944
471	6194	6929
472	6204	6912
473	6215	6897
474	6230	6886
475	6242	6871
476	6252	6855
477	6279	6857
478	6298	6850
479	6356	6885
480	6383	6887
481	6412	6891
